Bank,Transaction Date,Posting Date,Description,Amount
TD,2023-12-13,2023-12-14,FIDO Mobile ******7634 888-764-3771,200.83
TD,2023-12-19,2023-12-20,RCSS #1024 OAKVILLE,20.27
TD,2023-12-19,2023-12-22,WAL-MART SUPERCENTER#3064,3.77
TD,2023-12-21,2023-12-22,Uniqlo Canada Inc. Toronto,116.62
TD,2023-12-23,2023-12-27,PAYMENT - THANK YOU,-1000
TD,2023-12-26,2023-12-27,BKG*HOTEL AT BOOKING.C (888)850-395,327.75
TD,2023-12-26,2023-12-27,BKG*HOTEL AT BOOKING.C (888)850-395,164.65
TD,2023-12-27,2023-12-28,PAYMENT - THANK YOU,-1000
TD,2023-12-28,2023-12-29,UBER* TRIP TORONTO,54.54
TD,2023-12-29,2024-01-02,CONTINENTE BOM DIA OBIDOS,68.29
TD,2023-12-29,2024-01-02,MUNICIPIO PORTO-PARQ PORTO,52.8
TD,2023-12-30,2024-01-02,CALEM V N GAIA,63.12
TD,2024-01-01,2024-01-02,POPEXTREM CACERES,39.18
TD,2024-01-01,2024-01-02,CABILDO CORDOBA,55.09
TD,2024-01-02,2024-01-03,CROWN CREST CAPITAL TORONTO,57.7
TD,2024-01-02,2024-01-03,BKG*HOTEL AT BOOKING.C (888)850-395,400.75
TD,2024-01-02,2024-01-03,ORA CORDOBA CORDOBA,0.38
TD,2024-01-03,2024-01-04,SIETE TORO RONDA RONDA,55.16
TD,2024-01-04,2024-01-05,HOTEL CATALONIA RONDA RONDA,227.28
TD,2024-01-05,2024-01-08,HTL PORTOBAY FALESIA ALBUFEIRA,334.98
TD,2024-01-06,2024-01-08,TELPARK MADRID,54.04
TD,2024-01-07,2024-01-08,LISBON FIVE STARS LISBOA,18.01
TD,2024-01-09,2024-01-10,TELPARK MADRID,1.35
TD,2024-01-09,2024-01-11,UBER *TRIP HELP.UBER.CO,7.51
TD,2024-01-10,2024-01-11,UBER CANADA/UBERTRIP TORONTO,55.12
TD,2024-01-10,2024-01-11,UBER *TRIP HELP.UBER.CO,1.51
TD,2024-01-15,2024-01-17,OAKVILLE REC & CULTURE OAKVILLE,25.98
TD,2024-01-20,2024-01-22,IN *E-BOTS ROBOTICS 905-3371299,310.75
TD,2024-01-20,2024-01-23,TAOBAO.COM 125 LONDON W,754.46
TD,2024-01-22,2024-01-24,ZARA TEC #3194 TORONTO,220.46
TD,2024-01-23,2024-01-24,PAYMENT - THANK YOU,-1000
TD,2024-01-24,2024-01-25,FIDO Mobile ******7634 888-764-3771,171.76
TD,2024-01-30,2024-01-30,TAOBAO.COM London,427.41
TD,2024-01-30,2024-01-31,TAOBAO.COM 125 LONDON W,108.04
TD,2024-01-30,2024-02-01,TAOBAO.COM LONDON,198.91
TD,2024-02-01,2024-02-02,CROWN CREST CAPITAL TORONTO,57.7
TD,2024-02-01,2024-02-02,PAYMENT - THANK YOU,-1000
TD,2024-02-02,2024-02-05,EDDIE BAUER CANADA #49 HALTON,158.13
TD,2024-02-03,2024-02-05,YUAN MING SUPERMARKET,51.8
TD,2024-02-03,2024-02-05,T&T SUPERMARKET #015 MISSISSAUGA,106.36
TD,2024-02-08,2024-02-09,EDDIE BAUER CANADA #49 HALTON,112.96
TD,2024-02-14,2024-02-15,CTRIP SHANGHAI,248.73
TD,2024-02-14,2024-02-16,OAKVILLE REC & CULTURE OAKVILLE,25.99
TD,2024-02-18,2024-02-20,AIRBNB * HM3JATEEPT AIRBNB.COM,715.04
TD,2024-02-21,2024-02-22,MUJI ATRIUM TORONTO,81.37
TD,2024-02-21,2024-02-23,UNCLE TETSU CANADA TORONTO,14.75
TD,2024-02-22,2024-02-23,EDDIE BAUER CANADA #49 HALTON,22.6
TD,2024-02-23,2024-02-26,IN *E-BOTS ROBOTICS 905-3371299,310.75
TD,2024-03-01,2024-03-04,CROWN CREST CAPITAL TORONTO,57.7
TD,2024-03-01,2024-03-04,PAYMENT - THANK YOU,-1000
TD,2024-03-03,2024-03-04,TAOBAO.COM London,166.63
